"Quality"	"ALTA_1_2015.freebayes"	"ALTA_2_2015.freebayes"	"BAJK_1_2016.freebayes"	"BAJK_2_2016.freebayes"	"BAJK_3_2016.freebayes"	"BAJK_4_2016.freebayes"	"BELA_1_2004.freebayes"	"CHEH_1_1989.freebayes"	"CHEH_2_2004.freebayes"	"CHEH_3_2008.freebayes"	"JAPA_1_1994.freebayes"	"JAPA_2_1994.freebayes"	"KALM_10_1983.freebayes"	"KALM_1_2018.freebayes"	"KALM_9_1981.freebayes"	"KAZA_1_2006.freebayes"	"KAZA_2_2006.freebayes"	"KRAS_1_2002.freebayes"	"KRAS_2_2002.freebayes"	"KRAS_3_2002.freebayes"	"KRAS_4_2002.freebayes"	"POLA_1_2003.freebayes"	"POLA_2_2003.freebayes"	"RUSS_1_1998.freebayes"	"RUSS_2_1999.freebayes"	"RUSS_3_1999.freebayes"	"RUSS_4_2008.freebayes"	"RUSS_5_2008.freebayes"	"SLOV_1_1990.freebayes"	"SMAL_4_1996.freebayes"	"SMAL_5_1998.freebayes"	"SMAL_6_2013.freebayes"	"STOC_6_1965.freebayes"	"URAL_1_1991.freebayes"	"URAL_2_1995.freebayes"	"VAST_1_1983.freebayes"	"VAST_2_1999.freebayes"	"VAST_3_2005.freebayes"	"VORO_1_1998.freebayes"
0	1539338	998963	731099	1202842	1270522	1221748	691457	1775083	1346692	720212	1633172	400919	1742310	1607710	1705411	1178417	1553725	1742523	625393	1670460	955549	1514507	1590878	1688864	776024	1736070	1372006	1302203	1700731	1704328	889479	1369221	1281183	1413022	1360824	1716729	819998	1580570	1176931
57.8	4210																						2719
57.9																6203																						2011
58				6791																		4044
58.1																																7137
58.4			2692
58.6																					847
58.7										5939
58.8		2207			1702
58.9																																		1371
59																									1714								1200
59.2																																							6651
59.4																															1705
59.5											1346
59.6																			953							1126
59.7														3752
59.9																	1168																				1506
60.1												577																								1296
60.3						1074
60.4							969			885
60.5																													2140						2292
60.6																												1406
60.7																									2332		1632					1450
61.4																			1684
61.5			700										1200
61.6																																							1117
61.7																4382
61.8																																						1135
61.9																						988
62										669								1653
62.2				2242					1276																									1459
62.3																				1402					1001
62.5												688
62.7																					1340
62.9								1196
63.1																								1403							1055
63.3																			1293													1506
63.4																																					1303
63.5	5341														4263								5613							2343			7919
63.6							2012
63.7										885
63.9																									2718
64																																							1987
64.1		1025
64.3						1004
64.6			707
64.9												720																1176
65.2																			6133																2858
65.3					2164												1773
65.4										1023
65.5																																		1553
65.6																1385									2139													852
65.7																											1398
65.8																						1025
66																																2552
66.3				1665																																			2185
66.7																																				1950
66.8							1273																								854
66.9																					913																1057
67											1098								3829							1534
67.1										631
67.2														1414											940
67.3												1755
67.6																		831
67.7			1147
67.9									740
68.1																																	1070
68.3													1694
68.4						1232
68.6																																1301
68.7																																							1619
68.8										864																								1118
68.9																			808						786
69.2																				963									1016
69.3	1007																						1617					1053
69.4																								2955
69.5		10021														4867																						1093
69.7												487										1561
69.8															1217
69.9																																			1145
70							2159
70.4										745																											1281
70.5				2678																					1805						1454
70.6																														1153
70.7																			1369
70.8			5423					1147									9379										11435
71.1																					731																		1186
71.3																																2304
71.9					1172
72																																		6815
72.1										2649		1155													3318
72.4						959
72.6																			1667														1524
73.1							1073
73.3																724		1258																				2221
73.4																																				1172			1169
73.5									892													814
73.6																												2896
73.8			3987							9404															8133
73.9																																1156					1622
74.2																															775
74.4											1058
74.5												1118							1269							1253									1937
74.6				1191										1606
74.8		20922
75.1	763												948										993
75.3																					750													880
75.4																									1090
75.5										3736
75.7																								1084
75.8																											898												915
76.1															1922					1638
76.2																	1728
76.3							11865												16887
76.4						4304
76.5																																1118
76.9			471									402
77.1										795															994
77.2																579																	765					831
77.4																						1568
77.5																																					1176
77.7																														2796
77.8																													1231
77.9																												1891			2285
78.2																			775																				1141
78.4					1772
78.6								863																										1014
78.7				1192																					962
78.8										602
78.9																		1030
79.2									808																							1668			1380
79.3												721
79.5							18228														9050
80			1115
80.1																			681																	1156
80.2		1465
80.3																									1946
80.4						949
80.5										606																													1068
80.9	1481																						1331				1212
81																878																					1709
81.1																																						1315
81.3																						1709
81.6																															2273
81.7												492					2607																1461
81.8																																1038
81.9											991								841							1007								1063
82													843											1016	1040
82.1														1585
82.2										1119
82.3																												1036
82.5															1132
