task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1687	b8/3f338b	38675901	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (KALM_1_2018)	COMPLETED	0	2023-06-15 21:59:09.746	14.8s	3s	87.9%	4.3 MB	13.3 MB	4.4 GB	222.2 KB
1679	9d/56e109	38675895	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (VAST_3_2005)	COMPLETED	0	2023-06-15 21:58:29.984	1m 5s	55s	266.1%	323.1 MB	348.6 MB	4.8 GB	10.7 MB
1682	f3/582be2	38675898	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (SMAL_4_1996)	COMPLETED	0	2023-06-15 21:58:35.175	1m 4s	1m	274.2%	229.9 MB	254.9 MB	5 GB	11.7 MB
1685	49/27c2f3	38675899	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (KRAS_3_2002)	COMPLETED	0	2023-06-15 21:58:45.340	59.3s	55s	273.1%	229.2 MB	255.7 MB	4.8 GB	11.4 MB
1688	7b/2fe11f	38675904	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (KALM_1_2018)	COMPLETED	0	2023-06-15 21:59:25.354	59.2s	50s	262.1%	229 MB	253.9 MB	4.5 GB	11.3 MB
1503	22/8f75ba	38675683	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (RUSS_3_1999)	COMPLETED	0	2023-06-15 21:18:18.679	42m 11s	41m 15s	150.6%	16.9 GB	34.8 GB	49.7 GB	21.7 GB
1661	7e/dd09c4	38675865	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (POLA_2_2003)	COMPLETED	0	2023-06-15 21:52:14.840	8m 35s	8m 26s	98.7%	87.4 MB	145.8 MB	4.3 GB	115 KB
1691	c5/6a1819	38675906	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (RUSS_3_1999)	COMPLETED	0	2023-06-15 22:00:29.901	19.8s	16s	19.6%	4.3 MB	13.3 MB	4.7 GB	252.3 KB
1693	a6/2beff7	38675912	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (RUSS_3_1999)	COMPLETED	0	2023-06-15 22:00:49.985	1m 5s	58s	274.4%	375.6 MB	400.1 MB	5.2 GB	11.5 MB
1667	ef/17646c	38675877	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (KAZA_2_2006)	COMPLETED	0	2023-06-15 21:56:15.070	9m 5s	8m 52s	98.4%	85.1 MB	146 MB	4 GB	114.7 KB
